# Generated by Allantools 2019.09
# Input data type: phase
# Input data rate: 1.0
   AF        Tau          N alpha   min_mdev       mdev   max_mdev 
    1 1.0000e+00       8382 NaN   8.6392e+01 8.6866e+01 8.7341e+01 
    2 2.0000e+00       8379 NaN   5.3041e+01 5.3332e+01 5.3624e+01 
    4 4.0000e+00       8373 NaN   4.3476e+01 4.3715e+01 4.3954e+01 
    8 8.0000e+00       8361 NaN   3.2075e+01 3.2251e+01 3.2428e+01 
   16 1.6000e+01       8337 NaN   2.0825e+01 2.0939e+01 2.1054e+01 
   32 3.2000e+01       8289 NaN   1.1569e+01 1.1633e+01 1.1697e+01 
   64 6.4000e+01       8193 NaN   6.0386e+00 6.0721e+00 6.1057e+00 
  128 1.2800e+02       8001 NaN   2.5682e+00 2.5826e+00 2.5971e+00 
  256 2.5600e+02       7617 NaN   1.0797e+00 1.0859e+00 1.0921e+00 
  512 5.1200e+02       6849 NaN   7.3413e-01 7.3860e-01 7.4306e-01 
 1024 1.0240e+03       5313 NaN   3.9711e-01 3.9985e-01 4.0259e-01 
 2048 2.0480e+03       2241 NaN   1.8005e-01 1.8197e-01 1.8390e-01 
