nada-1,10pf-1,10pf-2,nada-2,39pf-1,conect-1,22pf-1,22pf-2,conect-2
20475,21308,22737,22983,20402,20534,22832,22893,20247
20586,20974,22644,22988,20586,20530,22979,22907,20198
20729,20899,22757,23079,20615,20517,22983,23039,19884
20794,20756,22842,23062,20582,20500,23061,23030,19885
20525,20755,22789,23060,20360,20550,23051,22833,19935
20517,20780,22798,23081,20372,20651,23073,22845,19945
20589,20995,22717,23187,20328,20649,23032,22895,20125
20438,21114,22743,23119,19700,20627,22966,22765,20085
20468,21397,22746,23120,19620,20643,22855,22768,20097
20673,21459,22777,23166,19470,20669,22849,22639,20032
20797,21549,22596,23157,19084,20596,22912,22599,20104
21019,21612,22647,23151,19057,20215,22670,22559,20126
21024,21610,22670,23192,19106,20167,22661,22748,20325
20949,21569,22622,23201,19628,20214,22440,22762,20455
20867,21592,22644,23352,19733,20140,22360,22872,20566
20850,21613,22551,23300,19862,19687,22406,23040,20817
20883,21707,22344,23185,19883,19684,22134,23004,21164
20982,21709,22343,23141,19798,19457,22086,23209,21014
21008,21655,22334,23223,19046,19536,22100,23300,20975
21011,21203,22328,23239,19018,19186,22174,23288,20948
21008,20998,22369,23310,19097,19173,22031,23294,20871
21088,20889,22454,23279,19263,19248,22039,23222,20770
21121,20902,22572,23351,19422,19240,21690,23012,20770
21177,21056,22441,23392,19953,19302,21730,23087,20866
21266,20873,22463,23404,20055,19622,21976,23001,20809
21242,20875,22456,23472,19881,19772,21980,23006,20719
21172,20964,22597,23462,19933,19793,22116,22837,20514
21166,20272,22631,23451,19778,20163,22134,22868,20549
21165,20245,22650,23590,19934,20220,22246,22626,20410
21118,20277,22656,23631,19948,20245,22243,22222,20395
21090,20340,22532,23631,20061,20206,22001,22214,20196
20761,20370,22398,23482,20352,20438,21976,22030,20268
20739,20590,22501,23469,20403,20434,21849,22074,20200
20662,20645,22478,23487,20769,20003,21916,22017,20083
20686,20818,22486,23548,20857,20185,21844,22040,20307
20838,20903,22537,23653,20878,20280,21798,22169,20311
20811,20207,22633,23462,20811,20341,21946,22197,20271
20862,19821,22638,23309,20189,20564,22155,22136,20365
20900,19800,22421,23232,20198,20578,22235,22043,19881
20908,19845,22378,23252,20263,20605,22184,22178,19875
20927,20246,22447,23301,20460,20730,21995,22186,19965
21107,20293,22234,23402,20519,20780,21841,22266,20004
21145,19764,22241,23285,20458,20796,21822,22086,19937
21202,19427,22359,23306,20461,20892,21728,21987,20120
20854,19469,22440,23307,20554,20866,21817,22390,20133
20833,19538,22597,23229,19953,20516,21919,22494,20384
20742,19692,22657,23371,19921,20532,22119,22474,20208
20750,19989,22640,23389,19985,20539,22122,22344,20205
20727,20083,22682,23342,20294,20518,21864,22339,20286
20771,20163,22862,23304,20302,20717,21801,22410,20065
21010,20325,22849,23309,20149,20621,21795,22106,20032
21029,20346,22838,23421,20163,20622,21740,22170,19058
21113,20494,22905,23484,20372,20710,21881,22187,19071
21417,20581,22951,23554,20398,20459,22125,22211,18894
21419,20759,22876,23405,20410,20458,22135,22302,19174
21248,21610,22798,23407,20565,20540,22297,22229,19175
21296,22111,22810,23460,20592,20390,22171,22084,19333
21280,22073,22717,23495,20723,19828,22166,21870,19290
21283,22095,22630,23476,20813,19965,22072,21324,19459
21357,22083,22623,23543,20811,19419,22070,21109,19572
21187,21983,22645,23636,20715,19302,22052,21018,19655
21090,22307,22588,23644,20718,19222,22002,21096,19660
21106,22385,22616,23627,20576,19243,22120,20653,19767
21148,22590,22597,23557,20615,19235,22114,20610,19865
21156,22279,22606,23570,20771,19331,22111,20742,19955
21240,22258,22590,23536,21252,19522,21977,20966,20300
21259,22299,22575,23571,21370,19584,22019,21006,20448
21275,22004,22529,23629,21370,19838,21947,20780,20399
21473,22090,22240,23555,21361,19903,21910,20618,20213
21587,22131,22222,23544,21082,20031,21929,20877,20204
21604,22223,22182,23511,21075,20174,21961,20901,19409
21632,22470,22202,23518,20941,20164,21936,20878,19294
21680,22483,22186,23453,20949,20032,22026,21097,19394
21617,22237,22177,23542,20826,19892,22255,21241,19361
21536,22208,22187,23628,20861,19885,22313,21306,19384
21650,21976,22239,23581,20818,19948,22329,21603,19850
21655,21971,22328,23590,20669,20116,22299,21349,19896
21677,22017,22488,23606,20490,19726,22373,21163,19998
21625,22146,22485,23697,20486,19668,22413,21169,20013
21627,22153,22521,23703,20182,19664,22423,21492,20052
21586,21923,22591,23738,20163,19734,22508,21537,19959
21472,22067,22572,23681,20290,19639,22328,21490,19936
21473,22112,22599,23689,20296,19837,22271,21536,19861
21405,22078,22495,23650,20063,19861,22360,21281,19566
21439,21884,22526,23548,20032,19980,22369,21209,19690
21400,21875,22303,23499,20177,20047,22370,21218,19716
21074,21493,22278,23493,20266,20174,22416,20941,19732
20977,21656,22257,23506,20300,20474,22354,21021,19845
20973,21855,22306,23435,20069,20483,22256,21384,19990
20900,21568,22224,23391,20057,20300,22257,21540,19948
20639,21563,22239,23391,20198,20164,22297,21482,19854
20628,21724,22146,23330,20117,20072,22303,21473,19847
20502,21778,22102,23336,20109,20063,22293,21336,19608
20493,21751,22104,23301,19953,19999,22342,21340,19656
20606,21852,22203,23188,20009,19541,22291,21605,19626
20628,21953,22178,23223,20252,19509,22358,21700,19653
20813,22224,22184,23406,20028,19442,22416,21842,19902
20909,22326,22210,23429,19952,19426,22469,21862,19916
20948,22520,22205,23348,19958,19505,22459,22168,19751
20979,22486,22090,23398,20047,19549,22446,22090,19720
20887,21969,22258,23432,20477,19449,22465,22089,19722
20978,21739,22405,23506,20605,19437,22448,21739,19498
20987,21679,22405,23514,20665,19286,22078,21664,19303
21029,21576,22503,23480,20614,18380,22057,21456,19309
21014,21121,22534,23542,19225,18240,22088,21434,18529
20943,21115,22570,23467,19125,18125,22171,21269,18290
20910,21214,22562,23458,18961,17380,21928,21259,18273
20846,21317,22565,23412,18824,17269,21889,21094,18060
20846,21610,22504,23410,18840,16971,21929,21328,18052
20871,21680,22501,23422,19129,17255,21958,21371,18145
20685,21714,22543,23484,19347,17052,21880,21487,18689
20707,21888,22591,23602,19365,17081,21834,21487,19003
20766,22126,22564,23528,19429,17144,21842,21497,19019
20727,22176,22548,23525,19775,17399,21653,21345,18858
20727,22433,22557,23498,19660,17890,21689,21508,19144
20711,22448,22645,23547,19684,17972,21692,21415,19079
20689,22548,22677,23524,19949,17985,21745,21377,19379
20274,22519,22608,23536,20271,18201,21966,21400,19346
20292,22522,22607,23594,20266,18312,21974,21264,19350
20295,22606,22698,23416,19975,18443,22144,21386,19401
20402,22521,22737,23371,19429,18474,22096,21205,19376
20482,22527,22785,23372,19266,18635,22081,21205,19357
20629,22607,22855,23413,19459,18198,21633,21066,19519
20763,22711,22944,23570,19522,18157,21626,21118,19190
20854,22390,23070,23506,19066,18155,21595,21051,19371
20916,22306,23181,23519,19043,17650,21755,21092,19349
20924,22312,23039,23387,19331,17745,21775,21401,19399
21016,22400,23061,23318,19418,17723,21938,21419,19710
21149,22445,23059,23149,19442,17963,21937,21509,19532
21140,22273,23081,23048,19285,18018,21987,21650,19475
21156,22360,23103,23049,19636,18269,22142,21628,19485
21182,22352,23119,23108,19601,18262,21855,21544,19461
21192,22429,23287,23151,19727,17496,21817,21484,19580
21141,22439,23359,23137,20003,17643,21855,21465,19737
21013,22375,23288,23103,20139,17653,22081,21814,19550
20807,22403,23298,23096,20089,18011,22099,21950,19355
20799,22615,23255,23020,20065,18018,21923,21964,19386
20886,22631,23325,23019,20208,18056,21889,22057,19475
20971,22655,23327,22976,19998,18048,21847,21964,19443
21001,22680,23137,23044,19995,18061,21834,21961,19472
20867,22791,23048,23152,20228,17971,21775,21700,19680
20889,22759,23043,23363,20225,18222,21652,21730,19518
20882,22893,23041,23458,20019,18226,21099,21448,19526
20946,22875,23008,23454,20009,18258,21089,21431,19572
21064,22879,22925,23375,20096,18583,21085,21423,19496
21054,22928,22933,23374,20193,18617,21038,21268,19496
20998,22838,22936,23420,20181,18594,21336,21294,19569
20933,22857,22952,23442,19684,18586,21477,21235,19559
20549,22971,22903,23470,19267,18655,21456,21059,18971
20536,23055,22932,23266,19187,18505,21500,20841,18942
20596,23056,22974,23271,19213,18583,21556,20833,19044
20583,23031,22966,23443,19411,18770,21517,20870,18972
20595,23085,22961,23576,19417,18768,21521,20733,19274
20637,23089,22894,23627,19664,18711,21625,20528,19330
20572,23258,22997,23650,19658,18658,21680,20532,19121
20581,23237,22996,23645,19386,18947,21664,20662,19108
20643,23167,22964,23719,18876,18952,21190,20721,18564
20765,23169,23029,23291,18890,18800,21130,20682,18591
20761,23123,23024,23223,19112,18429,21152,20592,18656
20782,23180,23017,23270,19088,18583,21142,20633,18700
20823,23189,22975,23413,19137,18546,20907,20503,19052
20831,23177,23016,23519,18899,18482,20931,20416,19067
20882,23215,23031,23583,18878,18403,21008,20472,19272
20930,23223,23156,23627,18784,18250,21048,20490,19679
20941,23331,23205,23605,18815,18217,21038,20638,19756
20901,23263,23156,23633,19168,17869,21067,20602,19655
20867,23275,23156,23398,19328,17902,21067,20259,19660
